idx,category,query,intent_bucket,top_final,top_base,top_margin,matches,synth,top_section,parser_xq_count,parser_kw_count,normalized_len,raw_len
1,high,Hello. I would like to receive a quote for the generation of,general_technical,-3.542,-3.642,-0.656,5,False,workflow_step,4,5,317,324
2,low,I am interested in a specific antibody synthesis.,general_technical,-2.383,-2.443,1.253,5,False,service_overview,3,1,49,49
3,high,"Hi, we are interested in custom monoclonal antibody producti",general_technical,-0.717,-0.917,1.301,5,False,service_component,3,3,113,135
4,medium,Our group in Berlin is interested in developing a new antibo,general_technical,-4.339,-4.439,0.604,5,False,development_capabilities,3,4,205,215
5,high,"Hi, we're interested in getting a quote for the production o",general_technical,-2.842,-2.942,0.516,5,False,product_catalog,3,4,85,89
6,medium,"Hello, I am the Director of Business Development of an emerg",general_technical,0.071,-0.009,0.735,5,False,workflow_step,3,3,126,199
7,high,We have ~20 custom lipids that we would like to formulate in,general_technical,0.323,0.263,1.544,5,False,workflow_step,4,4,158,158
8,high,Could you give a kind of ballpark indication of the costs fo,general_technical,-3.59,-3.69,1.524,5,False,faq,4,6,177,177
9,low,I am interested in developing new monoclonal antibodies.,general_technical,-1.904,-2.044,0.368,5,False,service_phase,3,3,56,56
10,low,I was in contact with one of your coworker for synthesis of ,general_technical,-1.93,-2.07,0.567,5,False,platform_summary,3,4,179,176
11,high,We need more rat anti pimonidazole monoclonal antibody made ,general_technical,-5.629,-5.769,0.21,5,False,plan_summary,3,4,67,67
12,high,We would like a quote for Hybridoma antibody sequencing serv,general_technical,2.085,2.045,0.652,5,False,related_services,3,4,225,225
13,high,"Hi, I am interested to know the price of producing mouse asc",general_technical,3.639,3.499,0.425,5,False,plan_summary,4,5,98,102
14,high,We would like to see if it would be possible to produce a cu,model_support,-6.344,-6.344,1.122,5,False,service_overview,4,4,128,128
15,medium,"Hi, I noticed the approximate costs for custom human antibod",general_technical,0.866,0.646,2.279,5,False,scientific_rationale,3,3,179,356
16,medium,"Hey, would like to buy some vials of CAR-T cells.",general_technical,-1.62,-1.72,0.355,5,False,product_catalog,3,4,44,49
17,high,I am interested in your study using mRNA-LNPs To Deliver Bis,general_technical,7.091,6.991,5.204,5,False,application_use_case,4,5,453,453
18,irrelevant,"Hi, Are you interested in acquiring database of 21,198 Oncol",general_technical,-2.801,-2.841,0.145,5,False,service_plan,4,6,545,549
19,high,We are looking for specific help in design of Tandem scFv-Fc,general_technical,-1.252,-1.312,3.316,5,False,application_use_case,5,5,297,297
20,high,We are seeking a CRO to generate a stable cell pool for the ,general_technical,-0.874,-0.874,2.405,5,False,product_catalog,3,4,101,101
