idx,category,query,intent_bucket_on,intent_bucket_off,top_final_on,top_final_off,delta,top_section_on,top_section_off,parser_xq_count
1,high,Hello. I would like to receive a quote for the generation of,general_technical,general_technical,-3.542,-3.542,0.0,workflow_step,workflow_step,5
2,low,I am interested in a specific antibody synthesis.,general_technical,general_technical,-2.343,-2.343,0.0,service_overview,service_overview,3
3,high,"Hi, we are interested in custom monoclonal antibody producti",general_technical,general_technical,1.261,1.261,0.0,service_component,service_component,3
4,medium,Our group in Berlin is interested in developing a new antibo,general_technical,general_technical,-5.092,-5.052,0.04,development_capabilities,development_capabilities,3
5,high,"Hi, we're interested in getting a quote for the production o",general_technical,general_technical,-2.802,-2.802,0.0,product_catalog,product_catalog,3
6,medium,"Hello, I am the Director of Business Development of an emerg",general_technical,general_technical,0.071,0.071,0.0,workflow_step,workflow_step,3
7,high,We have ~20 custom lipids that we would like to formulate in,general_technical,general_technical,0.323,0.323,0.0,workflow_step,workflow_step,5
8,high,Could you give a kind of ballpark indication of the costs fo,general_technical,general_technical,-3.59,-3.59,0.0,faq,faq,5
9,low,I am interested in developing new monoclonal antibodies.,general_technical,general_technical,-1.904,-1.904,0.0,service_phase,service_phase,3
10,low,I was in contact with one of your coworker for synthesis of ,general_technical,general_technical,-1.862,-1.804,0.058,brochure_overview,platform_summary,3
11,high,We need more rat anti pimonidazole monoclonal antibody made ,general_technical,general_technical,-5.629,-5.629,0.0,plan_summary,plan_summary,3
12,high,We would like a quote for Hybridoma antibody sequencing serv,general_technical,general_technical,2.085,2.085,0.0,related_services,related_services,5
13,high,"Hi, I am interested to know the price of producing mouse asc",general_technical,general_technical,3.639,3.639,0.0,plan_summary,plan_summary,3
14,high,We would like to see if it would be possible to produce a cu,model_support,model_support,-7.293,-7.293,0.0,workflow_step,workflow_step,3
15,medium,"Hi, I noticed the approximate costs for custom human antibod",general_technical,general_technical,0.994,0.994,0.0,scientific_rationale,scientific_rationale,3
16,medium,"Hey, would like to buy some vials of CAR-T cells.",general_technical,general_technical,-1.757,-1.757,0.0,product_catalog,product_catalog,5
17,high,I am interested in your study using mRNA-LNPs To Deliver Bis,general_technical,general_technical,7.131,7.131,0.0,application_use_case,application_use_case,5
18,irrelevant,"Hi, Are you interested in acquiring database of 21,198 Oncol",general_technical,general_technical,-2.801,-2.801,0.0,service_plan,service_plan,5
19,high,We are looking for specific help in design of Tandem scFv-Fc,general_technical,general_technical,-1.172,-1.252,-0.08,application_use_case,application_use_case,5
20,high,We are seeking a CRO to generate a stable cell pool for the ,general_technical,general_technical,-0.874,-0.874,0.0,product_catalog,product_catalog,3
