category,query,intent_bucket,top_final,top_base,top_margin,matches,synth,top_section
high,What is the service plan for CAR-T cell therapy?,service_plan,3.537,3.397,0.376,5,False,service_plan
high,What is the workflow for antibody production?,workflow,1.037,0.897,0.608,5,False,workflow_overview
high,What models do you support for mRNA LNP development?,model_support,4.277,4.137,3.676,5,False,model_support
high,How long does CAR-T cell therapy development take?,general_technical,1.637,1.577,0.191,5,False,pricing_overview
high,What are the phases in antibody discovery?,service_plan,1.237,1.097,1.715,5,False,plan_summary
medium,How does it work?,general_technical,3.52,3.31,0.62,5,False,workflow_overview
medium,I need antibody purification for 1 liter,general_technical,4.816,4.556,2.157,5,False,add_on_service_pricing
medium,Quote for antibody production service,general_technical,3.13,2.97,0.691,5,False,service_component
medium,What's the timeline for this service?,service_plan,5.082,4.832,0.653,5,False,timeline_overview
low,What's your contact phone number?,general_technical,-7.912,-7.912,0.266,5,False,technical_advantage
low,Do you ship to Europe?,general_technical,-8.332,-8.332,0.859,5,False,product_catalog
low,When will I receive the invoice?,general_technical,-9.938,-9.938,0.164,5,False,timeline_milestone
low,Who is your sales rep for antibody products?,general_technical,-4.145,-4.205,0.358,5,False,why_us
irrelevant,What's the weather today in Boston?,general_technical,-10.14,-10.14,0.053,5,False,technical_advantage
irrelevant,Can you recommend a good restaurant?,general_technical,-10.193,-10.193,0.0,5,False,service_overview
irrelevant,Tell me about COVID vaccines,general_technical,-1.952,-1.952,4.142,5,False,product_catalog
high,How should I validate it for specificity?,general_technical,-1.079,-1.299,1.213,5,False,validation_models
high,We need FDA-compliant antibody production with full audit tr,general_technical,-4.512,-4.572,0.727,5,False,package_inclusions
high,Which of these antibodies works best for flow cytometry?,general_technical,1.552,1.332,1.34,5,False,validation_models
high,Tell me about the workflow,workflow,0.192,0.052,0.569,5,False,workflow_overview
medium,What about the validation data?,general_technical,0.737,0.677,0.445,5,False,package_inclusions
medium,Which cell lines does this platform use?,general_technical,5.771,5.711,0.919,5,False,service_phase
high,We are interested in sequencing the VH and VL of a murine hy,general_technical,3.306,3.246,0.469,5,False,service_overview
high,"For research purposes only, we are interested in a 'split' C",general_technical,-1.15,-1.21,0.548,5,False,validation_models
high,I have two peptide sequences I would love for the company to,general_technical,1.349,1.289,0.776,5,False,scientific_rationale
high,I am an investigator interested in making a Dendritic Cell B,general_technical,0.575,0.515,0.431,5,False,model_support
high,I'd like to get a quote for a polyclonal antibody production,general_technical,2.51,2.45,0.649,5,False,workflow_overview
medium,"We developed CAR T cells in our startup company, and we alre",general_technical,0.233,0.173,0.411,5,False,service_plan
medium,"I am writing from cancer vaccine science, Poland, Europe. I ",general_technical,-5.807,-5.867,0.935,5,False,service_plan
high,We want rabbit monoclonal antibodies that recognize the N-te,general_technical,-1.829,-1.889,0.326,5,False,service_phase
high,When producing the mRNA/LNPs are they in aqueous form? Is it,general_technical,-2.841,-2.841,0.235,5,False,validation_models
high,I would like to produce human monoclonal antibodies to a few,general_technical,-1.152,-1.212,0.457,5,False,service_phase
high,I am looking to get a quote for synthesizing mRNA. How much ,general_technical,-1.041,-1.101,0.693,5,False,workflow_step
high,How long does your LNP production service usually take from ,general_technical,-2.536,-2.596,0.637,5,False,brochure_overview
high,We are interested in testing our drug product with a macroph,general_technical,-0.871,-0.931,1.366,5,False,scientific_rationale
high,I'm wondering if you could help us prepare lipid nanoparticl,general_technical,-2.815,-2.875,0.672,5,False,application_use_case
high,In my laboratory we are interested in a polyclonal antibody ,general_technical,-4.251,-4.311,0.156,5,False,service_phase
irrelevant,I am contacting you on behalf of Al-Trust Investment KSC. I ,service_plan,-6.463,-6.543,1.551,5,False,service_plan
low,I'm the Director of a biomedical and life sciences sales and,general_technical,-7.526,-7.526,0.106,5,False,why_us
low,I would be delighted to reinitiate conversations around apta,general_technical,-5.952,-5.952,0.859,5,False,humanization_overview
high,I would like to set up a CAR mRNA-LNP delivery system for an,workflow,-0.274,-0.334,1.444,5,False,product_catalog
medium,One of our multinational clients has expressed strong intere,general_technical,0.057,-0.003,0.574,5,False,platform_assets
